Word,Freq,Rank
pleasure,413,455
returned,413,456
person,413,457
ready,411,458
sweet,408,459
certainly,407,460
nature,407,461
dark,406,462
green,405,463
dwell,404,464
strange,404,465
burnt,403,466
boat,403,467
women,402,468
altar,402,469
alice,401,470
short,400,471
able,399,472
nations,398,473
broken,397,474
send,397,475
written,396,476
faith,395,477
table,394,478
anything,394,479
master,393,480
bed,393,481
chief,391,482
knightley,389,483
surely,389,484
ought,386,485
gods,386,486
elton,385,487
laid,383,488
strength,383,489
wherefore,383,490
praise,381,491
either,380,492
jacob,380,493
ran,380,494
rose,379,495
itself,378,496
judgment,377,497
congregation,376,498
trees,375,499
gate,374,500
business,374,501
yea,371,502
wise,370,503
honour,369,504
meet,368,505
walked,367,506
received,365,507
six,365,508
glad,365,509
kingdom,364,510
suppose,362,511
works,360,512
doubt,359,513
lost,359,514
suddenly,359,515
ham,358,516
beyond,356,517
hair,356,518
wall,355,519
aaron,352,520
arm,351,521
blessed,351,522
opened,350,523
talk,348,524
seek,347,525
knowledge,345,526
case,345,527
immediately,343,528
mercy,343,529
hard,343,530
chapter,342,531
seeing,342,532
wood,342,533
silence,341,534
point,341,535
wind,341,536
deal,340,537
offer,339,538
deep,338,539
save,338,540
sing,337,541
meat,337,542
month,337,543
sit,337,544
making,337,545
seed,335,546
fish,333,547
bad,333,548
sound,333,549
cry,333,550
mount,332,551
fruit,332,552
run,331,553
tabernacle,331,554
spirits,331,555
fast,331,556
letter,331,557
read,330,558
free,329,559
enemies,327,560
past,327,561
gentleman,326,562
top,326,563
wine,325,564
judge,324,565
thoughts,324,566
river,323,567
third,323,568
become,322,569
daughters,322,570
shew,321,571
solomon,321,572
colonel,320,573
fight,320,574
husband,320,575
destroy,319,576
fair,319,577
wilderness,319,578
places,318,579
delivered,317,580
low,317,581
gathered,316,582
stone,315,583
angel,314,584
continued,314,585
righteousness,314,586
please,314,587
woodhouse,313,588
used,313,589
anger,312,590
longer,311,591
company,311,592
wild,310,593
appeared,310,594
sense,310,595
lest,310,596
forward,310,597
seem,310,598
already,310,599
ways,310,600
party,310,601
sake,309,602
darkness,309,603
carried,308,604
deliver,308,605
ill,307,606
mary,307,607
hardly,307,608
comes,305,609
close,305,610
followed,304,611
hosts,304,612
use,304,613
jane,303,614
oil,302,615
covenant,302,616
died,302,617
born,302,618
common,302,619
possible,301,620
babylon,299,621
idea,299,622
sleep,298,623
care,297,624
vain,297,625
line,296,626
general,296,627
standing,295,628
thyself,295,629
number,294,630
battle,293,631
pretty,293,632
receive,292,633
except,292,634
concerning,292,635
perfect,291,636
wait,291,637
morrow,291,638
silent,291,639
fellow,291,640
yourself,291,641
susan,291,642
means,290,643
hill,289,644
spoke,289,645
elliot,289,646
princes,288,647
sometimes,287,648
doth,287,649
wisdom,287,650
feelings,287,651
blue,287,652
early,287,653
girl,286,654
wilt,285,655
rise,285,656
play,285,657
became,285,658
window,285,659
wonder,284,660
state,284,661
cometh,283,662
iron,283,663
cold,281,664
grace,281,665
iniquity,280,666
need,280,667
follow,279,668
beginning,278,669
pharaoh,278,670
length,277,671
wanted,276,672
added,276,673
heads,276,674
visit,276,675
stay,276,676
serve,274,677
edward,274,678
instant,273,679
change,273,680
multitude,273,681
south,273,682
town,273,683
pleased,272,684
offerings,271,685
whales,271,686
street,270,687
prophet,268,688
beautiful,268,689
twelve,268,690
subject,267,691
wrong,267,692
lie,266,693
host,266,694
filled,266,695
doing,265,696
levites,265,697
secret,264,698
won,264,699
watch,263,700
lived,263,701
real,263,702
break,263,703
held,262,704
foot,261,705
abraham,261,706
song,261,707
philistines,261,708
jews,260,709
thirty,260,710
question,260,711
comfort,260,712
mountains,259,713
east,259,714
hell,258,715
stubb,257,716
seems,257,717
account,257,718
houses,257,719
tribe,254,720
bow,254,721
bare,254,722
temple,254,723
command,254,724
louisa,254,725
taking,254,726
therein,253,727
righteous,253,728
joseph,253,729
beast,252,730
order,252,731
queequeg,252,732
throne,252,733
dashwood,252,734
kill,252,735
ark,252,736
ears,252,737
tongue,251,738
late,251,739
stones,250,740
north,249,741
story,248,742
grey,248,743
disciples,247,744
sitting,247,745
speaking,247,746
smile,247,747
paul,247,748
everything,247,749
prophets,247,750
smote,247,751
entered,246,752
sacrifice,246,753
horses,246,754
believed,246,755
arms,245,756
wrath,245,757
sperm,245,758
talking,245,759
departed,245,760
caught,244,761
bright,244,762
sky,244,763
met,244,764
lifted,244,765
trust,244,766
understanding,243,767
plain,243,768
human,243,769
perfectly,243,770
churchill,242,771
dwelt,242,772
inheritance,242,773
stranger,242,774
minutes,241,775
turning,241,776
fairfax,241,777
rich,240,778
hat,240,779
thence,239,780
built,238,781
trouble,238,782
across,237,783
fifty,236,784
desire,236,785
forty,235,786
loved,235,787
greater,235,788
afterwards,235,789
cloud,235,790
thinking,234,791
happiness,234,792
spread,234,793
caesar,233,794
show,233,795
lips,233,796
ear,231,797
buster,230,798
lucy,230,799
jennings,230,800
court,229,801
begat,229,802
struck,229,803
drew,229,804
yourselves,229,805
walking,228,806
fact,228,807
whatever,227,808
shut,227,809
big,227,810
age,226,811
frank,226,812
seat,225,813
service,225,814
stars,225,815
mad,225,816
form,224,817
led,224,818
exactly,223,819
natural,223,820
talked,223,821
around,223,822
nobody,223,823
particular,223,824
mountain,223,825
worse,223,826
obliged,222,827
clear,222,828
grass,222,829
offered,222,830
inhabitants,222,831
deck,221,832
hours,220,833
different,220,834
appear,220,835
rejoice,220,836
heavy,220,837
opinion,219,838
noise,219,839
moreover,219,840
faces,218,841
gather,218,842
presence,218,843
sheep,218,844
giving,218,845
horse,218,846
joshua,218,847
tried,218,848
wentworth,218,849
willoughby,217,850
acquaintance,217,851
equal,217,852
beside,217,853
taste,216,854
try,216,855
touch,216,856
forget,216,857
character,215,858
fancy,215,859
bound,214,860
says,214,861
farmer,214,862
sorry,214,863
fat,213,864
purpose,213,865
church,213,866
pay,213,867
cubits,213,868
fled,212,869
arose,212,870
charge,212,871
figure,212,872
ashamed,210,873
families,210,874
hearts,209,875
fallen,209,876
shame,209,877
reign,209,878
youth,208,879
enemy,208,880
feeling,207,881
cross,207,882
streets,207,883
road,207,884
sudden,207,885
broad,207,886
clothes,207,887
delight,207,888
destroyed,207,889
sought,206,890
wherein,206,891
happened,206,892
interest,206,893
slew,206,894
carry,205,895
gates,205,896
moon,205,897
queen,205,898
meant,204,899
dare,204,900
beasts,204,901
dream,204,902
clean,204,903
slain,204,904
dinner,203,905
countenance,203,906
promise,203,907
woe,202,908
beauty,202,909
aside,202,910
write,201,911
repeated,201,912
consider,201,913
attention,200,914
jordan,200,915
aye,200,916
prince,200,917
ships,200,918
rain,199,919
pain,199,920
unclean,199,921
pleasant,198,922
instead,198,923
satisfied,198,924
tis,198,925
starbuck,198,926
object,198,927
looks,197,928
favour,197,929
besides,197,930
stop,197,931
thank,197,932
ladies,197,933
peter,197,934
gentlemen,196,935
build,196,936
heavens,195,937
lion,195,938
bless,195,939
carriage,194,940
loud,194,941
prepared,194,942
mere,194,943
witness,193,944
months,193,945
nay,193,946
chance,193,947
valley,193,948
throughout,193,949
moved,192,950
running,191,951
sins,191,952
golden,191,953
vessels,191,954
lamb,191,955
ago,191,956
arise,191,957
ere,190,958
nigh,190,959
speech,189,960
worship,189,961
reigned,189,962
entirely,189,963
neck,188,964
grave,188,965
rising,188,966
hid,188,967
remain,188,968
creature,188,969
whosoever,188,970
goes,188,971
conversation,188,972
breath,187,973
alive,187,974
devil,187,975
fixed,186,976
tears,186,977
usual,186,978
fields,185,979
remained,184,980
several,184,981
raised,184,982
minute,184,983
archer,184,984
wide,184,985
self,184,986
regard,184,987
front,184,988
knows,183,989
fresh,183,990
wished,183,991
sign,183,992
proud,183,993
hate,183,994
grew,182,995
pure,182,996
married,182,997
nation,182,998
vast,182,999
elders,182,1000
smith,181,1001
sick,181,1002
draw,181,1003
leaves,181,1004
further,181,1005
spring,181,1006
rock,180,1007
bones,180,1008
commandment,180,1009
didn,180,1010
fill,180,1011
farther,180,1012
cattle,179,1013
west,179,1014
covered,179,1015
laugh,179,1016
ephraim,179,1017
glass,179,1018
laughing,178,1019
lot,178,1020
impossible,178,1021
crown,178,1022
taught,177,1023
curious,177,1024
pieces,177,1025
professor,176,1026
angry,176,1027
determined,176,1028
straight,176,1029
excellent,175,1030
doors,175,1031
fortune,175,1032
cecilia,175,1033
former,175,1034
neighbour,174,1035
everybody,174,1036
summer,174,1037
mark,174,1038
counsel,174,1039
eight,174,1040
pequod,173,1041
salvation,173,1042
charles,173,1043
view,173,1044
respect,173,1045
middle,173,1046
francisco,173,1047
makes,173,1048
pride,172,1049
grow,172,1050
begin,172,1051
hearing,172,1052
english,172,1053
knowing,172,1054
stopped,172,1055
london,172,1056
arthur,171,1057
sail,171,1058
commandments,171,1059
appearance,171,1060
benjamin,171,1061
merely,171,1062
sorrow,170,1063
proper,170,1064
directly,170,1065
burn,170,1066
situation,169,1067
piece,169,1068
moab,169,1069
justice,169,1070
desolate,169,1071
angels,169,1072
especially,169,1073
easy,169,1074
hills,168,1075
terrible,168,1076
names,168,1077
drawing,168,1078
teach,168,1079
corner,168,1080
depart,168,1081
marry,168,1082
promised,167,1083
beneath,167,1084
possession,167,1085
affection,167,1086
expected,167,1087
box,167,1088
chosen,167,1089
passage,167,1090
fit,167,1091
border,167,1092
kindness,167,1093
blind,166,1094
buried,166,1095
worth,166,1096
likewise,166,1097
parts,165,1098
thither,165,1099
hence,165,1100
exclaimed,165,1101
bit,165,1102
image,165,1103
quiet,165,1104
camp,165,1105
saved,164,1106
suffer,164,1107
feast,164,1108
thick,164,1109
escape,164,1110
safe,164,1111
shewed,164,1112
lands,164,1113
appointed,164,1114
waves,164,1115
nevertheless,163,1116
tone,163,1117
whence,163,1118
ones,163,1119
killed,163,1120
crew,163,1121
declare,163,1122
heathen,162,1123
sisters,162,1124
distance,162,1125
ghost,162,1126
dust,162,1127
brutus,162,1128
seas,162,1129
shadow,162,1130
vpon,162,1131
piedro,161,1132
health,161,1133
fool,161,1134
shape,161,1135
boats,161,1136
clouds,160,1137
didst,160,1138
hartfield,160,1139
lead,159,1140
week,159,1141
wings,159,1142
manners,159,1143
dry,158,1144
following,158,1145
whatsoever,158,1146
broke,158,1147
hearken,158,1148
future,158,1149
removed,157,1150
waiting,157,1151
sides,157,1152
smiling,157,1153
divine,157,1154
pale,157,1155
welcome,157,1156
samuel,157,1157
assure,157,1158
worthy,156,1159
meeting,156,1160
fond,156,1161
soft,156,1162
blow,156,1163
wives,156,1164
quick,156,1165
pity,155,1166
coat,155,1167
simple,155,1168
slowly,155,1169
likely,154,1170
boys,154,1171
forgotten,154,1172
space,154,1173
whither,154,1174
surprise,153,1175
zion,153,1176
beloved,153,1177
bru,153,1178
captains,153,1179
understood,153,1180
yours,153,1181
settled,152,1182
coast,152,1183
noble,152,1184
letters,152,1185
bird,152,1186
society,151,1187
race,151,1188
marriage,151,1189
forest,151,1190
flowers,151,1191
food,151,1192
necessary,150,1193
shore,150,1194
precious,150,1195
sad,150,1196
walter,150,1197
eternal,150,1198
russell,149,1199
jeremiah,149,1200
due,149,1201
edge,149,1202
degree,149,1203
companions,149,1204
passing,149,1205
bates,149,1206
probably,149,1207
rule,149,1208
brass,149,1209
lying,148,1210
adam,148,1211
greatest,148,1212
false,148,1213
journey,148,1214
lower,148,1215
tall,148,1216
persons,148,1217
difference,148,1218
measure,148,1219
hide,147,1220
possess,147,1221
teeth,147,1222
grown,147,1223
manasseh,147,1224
observed,146,1225
singing,146,1226
buy,146,1227
verily,146,1228
lift,146,1229
lies,146,1230
snow,146,1231
joined,145,1232
joab,145,1233
prayer,145,1234
danger,145,1235
honest,145,1236
utterly,145,1237
curse,144,1238
leaving,144,1239
music,144,1240
brandon,144,1241
sabbath,144,1242
learn,144,1243
corn,144,1244
board,144,1245
somewhat,143,1246
england,143,1247
middleton,143,1248
hot,143,1249
sharp,143,1250
companion,143,1251
wrote,143,1252
ocean,143,1253
lives,143,1254
selfe,143,1255
maid,143,1256
finished,143,1257
army,143,1258
engaged,142,1259
incense,142,1260
wickedness,142,1261
burst,142,1262
sanctuary,142,1263
spoil,142,1264
public,142,1265
satan,142,1266
bull,141,1267
mistress,141,1268
loose,141,1269
nearly,141,1270
meaning,141,1271
hither,141,1272
evan,141,1273
mast,141,1274
bottom,141,1275
curiosity,140,1276
catch,140,1277
paper,140,1278
altogether,140,1279
bath,140,1280
seventh,140,1281
warm,139,1282
notice,139,1283
square,139,1284
confidence,139,1285
supposed,139,1286
vanity,139,1287
drawn,139,1288
act,138,1289
tail,138,1290
continually,138,1291
ourselves,138,1292
force,138,1293
changed,138,1294
statutes,138,1295
empty,138,1296
yellow,138,1297
generations,138,1298
souls,138,1299
macb,137,1300
below,137,1301
temper,137,1302
remembered,137,1303
songs,137,1304
sold,137,1305
dress,137,1306
spot,137,1307
observe,137,1308
higher,137,1309
bowed,137,1310
skin,136,1311
particularly,136,1312
hurt,136,1313
prison,136,1314
weather,136,1315
doctor,135,1316
smoke,135,1317
calm,135,1318
heere,135,1319
fail,135,1320
fierce,135,1321
unknown,135,1322
single,135,1323
drive,135,1324
guinea,135,1325
wrought,135,1326
spite,135,1327
goeth,135,1328
greatly,135,1329
isaac,134,1330
eaten,134,1331
choose,134,1332
served,134,1333
nose,134,1334
formed,134,1335
easily,134,1336
captivity,133,1337
flock,133,1338
move,133,1339
hole,133,1340
numbered,133,1341
height,133,1342
consequence,133,1343
judgments,132,1344
huge,132,1345
maketh,132,1346
distant,132,1347
bell,132,1348
tribes,132,1349
whaling,132,1350
handsome,132,1351
walls,132,1352
perish,132,1353
placed,132,1354
basket,131,1355
swear,131,1356
raise,131,1357
declared,131,1358
scarcely,131,1359
equally,131,1360
laughed,131,1361
paid,131,1362
feared,131,1363
labour,131,1364
reached,131,1365
circumstances,131,1366
gentiles,131,1367
breakfast,131,1368
village,131,1369
faithful,131,1370
growing,131,1371
musgrove,130,1372
increase,130,1373
instantly,130,1374
flambeau,130,1375
ferrars,130,1376
join,130,1377
cottage,130,1378
calling,130,1379
smite,130,1380
conduct,130,1381
occasion,130,1382
quickly,130,1383
spent,129,1384
hall,129,1385
foolish,129,1386
mayest,129,1387
named,129,1388
destruction,129,1389
slay,129,1390
cover,129,1391
supper,129,1392
touched,129,1393
thanks,129,1394
sore,129,1395
started,129,1396
thrown,128,1397
miles,128,1398
steps,128,1399
sinned,128,1400
getting,128,1401
effect,128,1402
ease,128,1403
considered,128,1404
rivers,128,1405
march,128,1406
serious,128,1407
hezekiah,128,1408
voyage,127,1409
flying,127,1410
imagine,127,1411
beat,127,1412
haste,127,1413
otherwise,127,1414
somehow,127,1415
giveth,126,1416
wash,126,1417
hurry,126,1418
nearer,126,1419
fourth,125,1420
winter,125,1421
forgive,125,1422
tent,125,1423
highbury,125,1424
jem,124,1425
truly,124,1426
samaria,124,1427
grand,124,1428
abroad,124,1429
leg,124,1430
shot,124,1431
naked,124,1432
reward,124,1433
shoulder,124,1434
jonathan,124,1435
frederick,123,1436
ball,123,1437
reproach,123,1438
escaped,123,1439
yesterday,123,1440
assyria,122,1441
woods,122,1442
